iter,loss,mask-enc,mask-pred,time (ms)
614,0.00074,110.00000,20.00000,88
615,0.00014,109.00000,20.00000,89
616,0.00008,113.00000,20.00000,92
617,0.00023,97.00000,24.00000,82
618,0.00018,111.00000,20.00000,89
619,0.00053,113.00000,20.00000,91
620,0.00108,110.00000,20.00000,88
621,0.00058,113.00000,20.00000,91
622,0.00040,107.00000,20.00000,86
623,0.00013,107.00000,20.00000,86
624,0.00012,117.00000,20.00000,92
625,0.00025,114.00000,20.00000,105
626,0.00019,92.00000,24.00000,100
627,0.00049,114.00000,20.00000,90
628,0.00056,114.00000,20.00000,92
629,0.00013,111.00000,20.00000,92
630,0.00019,99.00000,24.00000,84
631,0.00013,117.00000,20.00000,91
632,0.00134,95.00000,24.00000,81
633,0.00011,99.00000,24.00000,82
634,0.00086,132.00000,16.00000,98
635,0.00037,99.00000,24.00000,83
636,0.00050,133.00000,16.00000,101
637,0.00009,109.00000,20.00000,88
638,0.00048,117.00000,20.00000,91
639,0.00043,102.00000,24.00000,84
640,0.00016,116.00000,20.00000,93
641,0.00027,107.00000,20.00000,100
642,0.00016,112.00000,20.00000,97
643,0.00008,114.00000,20.00000,89
644,0.00115,109.00000,20.00000,88
645,0.00075,116.00000,20.00000,93
646,0.00053,132.00000,16.00000,97
647,0.00014,113.00000,20.00000,90
648,0.00056,115.00000,20.00000,91
649,0.00017,135.00000,16.00000,101
650,0.00067,90.00000,24.00000,77
651,0.00014,132.00000,16.00000,97
652,0.00034,112.00000,20.00000,88
653,0.00131,114.00000,20.00000,89
654,0.00032,96.00000,24.00000,79
655,0.00045,95.00000,24.00000,80
656,0.00074,105.00000,20.00000,83
657,0.00183,132.00000,16.00000,124
658,0.00018,115.00000,20.00000,110
659,0.00032,91.00000,24.00000,78
660,0.00018,114.00000,20.00000,89
661,0.00012,94.00000,24.00000,81
662,0.00013,113.00000,20.00000,91
663,0.00259,109.00000,20.00000,90
664,0.00105,114.00000,20.00000,90
665,0.00013,110.00000,20.00000,87
666,0.00031,111.00000,20.00000,89
667,0.00034,117.00000,20.00000,93
668,0.00023,114.00000,20.00000,88
669,0.00159,119.00000,20.00000,93
670,0.00028,98.00000,24.00000,81
671,0.00014,108.00000,20.00000,85
672,0.00015,114.00000,20.00000,89
673,0.00012,117.00000,20.00000,110
674,0.00018,112.00000,20.00000,116
675,0.00022,113.00000,20.00000,96
676,0.00020,96.00000,24.00000,83
677,0.00020,114.00000,20.00000,113
678,0.00013,109.00000,20.00000,90
679,0.00011,115.00000,20.00000,90
680,0.00034,134.00000,16.00000,99
681,0.00039,110.00000,20.00000,87
682,0.00011,118.00000,20.00000,92
683,0.00013,119.00000,20.00000,93
684,0.00034,97.00000,24.00000,81
685,0.00015,111.00000,20.00000,90
686,0.00050,101.00000,24.00000,83
